,artist,song,genres,year,key,mode,duration,bpm
1379,The Strokes,12:51,Rock,2003,,,,
1380,Doves,There Goes the Fear,Rock,2002,F,major,6:54,110BPM
1381,Junior Boys,In the Morning,Pop,2006,A♯/B♭,major,4:46,120BPM
1382,The Ting Tings,That´s Not My Name,Pop,2007,,,,
1383,Basement Jaxx,Romeo,Dance,2001,D,major,3:37,127BPM
1384,The Libertines,What a Waster,Rock,2002,A,minor,3:00,172BPM
1385,Midlake,Roscoe,Rock,2006,G♯/A♭,minor,4:47,122BPM
1386,Glasvegas,Daddy's Gone,Rock,2007,,,,
1387,The White Stripes,My Doorbell,Rock,2005,G♯/A♭,major,4:02,97BPM
1388,The White Stripes,Hotel Yorba,Rock,2001,G,major,2:10,195BPM
1389,Nelly,Hot in Herre,Hip Hop,2002,D,major,3:48,107BPM
1390,Talib Kweli,Get By,Hip Hop,2002,D,major,3:47,91BPM
1391,The Libertines,Don't Look Back into the Sun,Rock,2003,,,,
1392,Arctic Monkeys,A Certain Romance,Rock,2006,B,major,5:31,138BPM
1393,Arctic Monkeys,Fake Tales of San Francisco,Rock,2005,B,minor,3:01,127BPM
1394,Interpol,Evil,Rock,2004,F,major,3:36,129BPM
1395,Japandroids,Young Hearts Spark Fire,Rock,2009,D,major,5:03,112BPM
1396,Arctic Monkeys,When the Sun Goes Down,Rock,2006,B,minor,3:22,169BPM
1397,The White Stripes,Icky Thump,Rock,2007,A,major,4:15,98BPM
1398,Muse,Supermassive Black Hole,Rock,2006,G,major,3:29,120BPM
1399,Roots Manuva,Witness (1 Hope),Hip Hop,2001,F♯/G♭,minor,4:17,92BPM
1400,Bob Dylan,Things Have Changed,Rock,2000,G,minor,5:09,127BPM
1401,Ryan Adams,"New York, New York",Rock,2001,A,major,3:47,106BPM
1402,Wilco,I Am Trying to Break Your Heart,Rock,2002,E,major,6:04,94BPM
1403,Eminem,Without Me,Hip Hop,2002,G,major,4:50,112BPM
1404,Björk,Pagan Poetry,Pop,2001,C♯/D♭,minor,5:30,132BPM
1405,Johnny Boy,You Are the Generation that Bought More Shoes and You Get What You Deserve,Pop,2004,C,major,3:10,135BPM
1406,Muse,Plug In Baby,Rock,2001,D,major,3:38,136BPM
1407,Feist,Mushaboom,Pop,2004,G♯/A♭,major,3:45,89BPM
1408,The Chemical Brothers,Galvanize,Dance,2004,G,major,6:34,104BPM
1409,Lindstrøm,I Feel Space,Dance,2005,C♯/D♭,major,7:00,122BPM
1410,M.O.P,"Ante Up (Robbing-Hoodz Theory) / Ante Up (Remix) feat. Busta Rhymes, Remy Ma & Teflon [2001]",Hip Hop,2000,,,,
1411,M.I.A.,Bucky Done Gun,Hip Hop,2005,F♯/G♭,minor,3:46,128BPM
1412,Sugababes,Freak Like Me,Pop,2002,F,major,3:16,92BPM
1413,The xx,Islands,Pop,2009,E,major,2:41,124BPM
1414,Camera Obscura,French Navy,Pop,2009,D,major,3:19,137BPM
1415,Kanye West,Can't Tell Me Nothing,Hip Hop,2007,,,,
1416,Muse,Knights of Cydonia,Rock,2006,B,minor,6:07,137BPM
1417,Radiohead,How to Disappear Completely,Rock,2000,F♯/G♭,minor,5:56,102BPM
1418,Bruce Springsteen,The Rising,Rock,2002,A♯/B♭,major,4:47,110BPM
1419,Interpol,NYC,Rock,2002,F,major,4:21,74BPM
1420,Camera Obscura,"Lloyd, I'm Ready to Be Heartbroken",Pop,2006,,,,
1421,Florence + The Machine,Dog Days Are Over,Pop,2008,,,,
1422,Sébastien Tellier,La Ritournelle,Pop,2003,C,minor,7:34,103BPM
1423,Franz Ferdinand,Darts of Pleasure,Rock,2003,E,minor,3:00,145BPM
1424,Gossip,Heavy Cross,Rock,2009,D,major,4:03,120BPM
1425,Foo Fighters,Best of You,Rock,2005,C♯/D♭,minor,4:16,130BPM
1426,Jet,Are You Gonna Be My Girl,Rock,2003,D,major,3:35,105BPM
1427,DJ Mujava,Township Funk,Dance,2008,C♯/D♭,major,5:49,122BPM
1428,System of a Down,B.Y.O.B.,Rock,2005,,,,
1429,Morrissey,"Irish Blood, English Heart",Rock,2004,A,minor,2:36,140BPM
1430,Dixie Chicks,Not Ready to Make Nice,Pop,2006,,,,
1431,Foo Fighters,All My Life,Rock,2002,F,major,4:23,168BPM
1432,Gui Boratto,Beautiful Life,Dance,2007,G♯/A♭,major,8:31,125BPM
1433,Ricardo Villalobos,Easy Lee,Dance,2003,,,,
1434,Radiohead,The National Anthem,Rock,2000,D,major,5:52,92BPM
1435,Interpol,Slow Hands,Rock,2004,B,minor,3:04,142BPM
1436,Phoenix,Everything Is Everything,Pop,2004,F♯/G♭,major,2:59,109BPM
1437,Interpol,PDA,Rock,2002,F♯/G♭,minor,5:00,138BPM
1438,Red Hot Chili Peppers,By the Way,Rock,2002,C,major,3:37,122BPM
1439,The Cribs,Men's Needs,Rock,2007,,,,
1440,Foo Fighters,The Pretender,Rock,2007,A,major,4:29,173BPM
1441,Benjamin Biolay,La Superbe,Pop,2009,E,minor,6:17,150BPM
1442,Goldfrapp,Lovely Head,Pop,2000,F,minor,3:50,109BPM
1443,Empire of the Sun,Walking on a Dream,Pop,2008,F,minor,3:18,127BPM
1444,Norah Jones,Don't Know Why,Pop,2002,,,,
1445,Beck,Lost Cause,Pop,2002,C,major,3:47,120BPM
1446,Spoon,I Turn My Camera On,Rock,2005,A♯/B♭,major,3:32,100BPM
1447,Guillemots,Trains to Brazil,Pop,2005,C♯/D♭,major,4:02,175BPM
1448,Deichkind,Remmidemmi (Yippie Yippie Yeah),Dance,2006,D♯/E♭,minor,4:41,130BPM
1449,Wolfman feat. Pete Doherty,For Lovers,Rock,2004,,,,
1450,Mike Jones feat. Slim Thug & Paul Wall,Still Tippin',Hip Hop,2004,,,,
1451,Joanna Newsom,"Peach, Plum, Pear",Pop,2004,,,,
1452,The Von Bondies,C'mon C'mon,Rock,2004,,,,
1453,Black Kids,I'm Not Gonna Teach Your Boyfriend How to Dance with You,Pop,2007,,,,
1454,Green Day,Boulevard of Broken Dreams,Rock,2004,G♯/A♭,major,4:22,167BPM
1455,LCD Soundsystem,North American Scum,Rock,2007,A,major,5:29,138BPM
1456,Luomo,Tessio,Dance,2000,A,minor,12:08,124BPM
1457,Destroyer,Bay of Pigs,Pop,2009,C,major,13:39,120BPM
1458,The National,Mr. November,Rock,2005,,,,
1459,Noir Désir,Le Vent nous portera,Rock,2001,E,minor,4:49,105BPM
1460,The Streets,Fit But You Know It,Hip Hop,2004,F♯/G♭,major,4:14,172BPM
1461,Kanye West,Love Lockdown,Pop,2008,C♯/D♭,minor,4:30,120BPM
1462,The Hold Steady,Stuck Between Stations,Rock,2006,D,major,4:10,144BPM
1463,Steve Earle,John Walker Blues,Rock,2002,,,,
1464,LCD Soundsystem,Yeah,Rock,2004,,,,
1465,Air,Playground Love,Pop,2000,G,minor,3:32,143BPM
1466,Arnaud Fleurent-Didier,France Culture,Pop,2009,F,major,3:22,90BPM
1467,Jürgen Paape,So weit wie noch nie,Dance,2002,C♯/D♭,major,6:01,126BPM
1468,Nathan Fake,The Sky Was Pink,Dance,2004,D♯/E♭,minor,4:51,188BPM
1469,Nas,Made You Look,Hip Hop,2002,F,minor,3:23,96BPM
1470,Radiohead,15 Step,Rock,2007,C♯/D♭,major,3:57,94BPM
1471,Eminem,The Way I Am,Hip Hop,2000,E,minor,4:51,87BPM
1472,Editors,Smokers Outside the Hospital Door,Rock,2007,,,,
1473,Arctic Monkeys,Fluorescent Adolescent,Rock,2007,C♯/D♭,minor,3:04,112BPM
1474,Frightened Rabbit,Swim Until You Can't See Land,Rock,2009,,,,
1475,Elbow,Grounds for Divorce,Rock,2008,D,minor,3:39,92BPM
1476,Missy Elliott feat. Ciara & Fatman Scoop,Lose Control,Hip Hop,2005,,,,
1477,Julian Casablancas,11th Dimension,Pop,2009,F♯/G♭,minor,4:03,126BPM
1478,Alter Ego,Rocker,Dance,2004,G,minor,4:48,130BPM
1479,The Pains of Being Pure at Heart,Young Adult Friction,Pop,2009,B,minor,4:04,163BPM
1480,Queens of the Stone Age,The Lost Art of Keeping a Secret,Rock,2000,C♯/D♭,major,3:36,111BPM
1481,Les Savy Fav,The Sweat Descends,Rock,2004,B,minor,4:15,148BPM
1482,Sigur Rós,Gobbledigook,Pop,2008,D,major,3:05,89BPM
1483,Arctic Monkeys,Brianstorm,Rock,2007,C♯/D♭,major,2:52,165BPM
1484,Kings of Leon,Molly's Chambers,Rock,2003,,,,
1485,Christina Aguilera,Beautiful,Pop,2002,F,minor,4:02,76BPM
1486,Crystal Castles vs. HEALTH,Crimewave,Pop,2007,,,,
1487,The Knife,We Share Our Mother's Health,Pop,2006,B,major,4:12,106BPM
1488,Madonna,Don't Tell Me,Pop,2000,,,,
1489,Kings of Leon,The Bucket,Rock,2004,C,major,2:56,140BPM
1490,The Notwist,Pilot,Rock,2001,E,minor,4:29,133BPM
1491,HEALTH,Die Slow,Rock,2009,F,major,3:12,101BPM
1492,Missy Elliott,Pass That Dutch,Hip Hop,2003,,,,
1493,M.I.A.,Boyz,Hip Hop,2007,F♯/G♭,minor,3:27,133BPM
1494,Andrew W.K.,Party Hard,Rock,2001,E,major,3:05,162BPM
1495,The Juan MacLean,Happy House,Dance,2008,F,minor,12:38,125BPM
1496,Wolf Parade,Shine a Light,Rock,2005,A,major,3:45,133BPM
1497,All Saints,Pure Shores,Pop,2000,F♯/G♭,major,4:29,101BPM
1498,The Strokes,New York City Cops,Rock,2001,C,major,3:31,108BPM
1499,Passion Pit,The Reeling,Pop,2009,G♯/A♭,major,4:48,112BPM
1500,Passion Pit,Sleepyhead,Pop,2008,G♯/A♭,major,2:55,106BPM
1501,Of Montreal,The Past Is a Grotesque Animal,Rock,2007,F,major,11:53,153BPM
1502,Metro Area,Miura,Dance,2001,D,major,6:45,123BPM
1503,Vitalic,My Friend Dario,Dance,2005,E,major,3:39,133BPM
1504,The Strokes,Reptilia,Rock,2003,A,major,3:40,158BPM
1505,PJ Harvey,This Mess We're In,Rock,2000,,,,
1506,Carla Bruni,Quelqu'un m'a dit,Pop,2002,,,,
1507,Nine Inch Nails,The Hand That Feeds,Rock,2005,C,major,3:32,128BPM
1508,Nelly,Country Grammar (Hot Shit),Hip Hop,2000,D,major,4:47,163BPM
1509,Fuck Buttons,Surf Solar,Rock,2009,D,minor,10:35,130BPM
1510,Fever Ray,If I Had a Heart,Pop,2008,E,major,3:47,170BPM
1511,The National,Mistaken for Strangers,Rock,2007,F,major,3:31,133BPM
1512,TV on the Radio,Golden Age,Rock,2008,A♯/B♭,minor,4:10,110BPM
1513,Danger Mouse,99 Problems,Rock,2004,,,,
1514,Yeah Yeah Yeahs,Gold Lion,Rock,2006,D,major,3:09,79BPM
1515,Vitalic,La Rock 01,Dance,2001,B,minor,5:25,136BPM
1516,Jamie T,Sheila,Hip Hop,2006,G,major,4:20,95BPM
1517,Jay-Z,Roc Boys (And the Winner Is)…,Hip Hop,2007,,,,
1518,Lykke Li,Little Bit,Pop,2007,G,major,4:33,120BPM
1519,Adele,Chasing Pavements,Pop,2008,F,minor,3:31,80BPM
1520,The Libertines,Up the Bracket,Rock,2002,A,major,2:39,183BPM
1521,The Decemberists,The Engine Driver,Pop,2005,E,minor,4:15,97BPM
1522,Daft Punk,Aerodynamic,Dance,2001,G,major,3:33,123BPM
1523,Kanye West feat. T-Pain,Good Life,Hip Hop,2007,,,,
1524,Golden Boy feat. Miss Kittin,Rippin Kittin,Dance,2002,,,,
1525,Radiohead,Jigsaw Falling into Place,Rock,2007,B,minor,4:09,166BPM
1526,N*E*R*D feat. Lee Harvey and Vita,Lapdance,Rock,2002,,,,
1527,Ludacris,Southern Hospitality,Hip Hop,2000,C,major,5:02,95BPM
1528,Jens Lekman,Black Cab,Pop,2003,,,,
1529,Depeche Mode,Precious,Pop,2005,C♯/D♭,major,4:06,105BPM
1530,Jens Lekman,Maple Leaves,Pop,2003,,,,
1531,Death Cab for Cutie,I Will Possess Your Heart,Rock,2008,A,minor,8:26,133BPM
1532,Kanye West,We Don't Care,Hip Hop,2004,,,,
1533,The Strokes,Juicebox,Rock,2005,D,minor,3:15,155BPM
1534,Jay-Z,Heart of the City (Ain't No Love),Hip Hop,2001,,,,
1535,The Walkmen,In the New Year,Rock,2008,E,major,4:22,82BPM
1536,Grizzly Bear,Knife,Pop,2006,B,major,5:14,89BPM
1537,Dan Le Sac vs. Scroobius Pip,Thou Shalt Always Kill,Hip Hop,2007,,,,
1538,Black Rebel Motorcycle Club,Whatever Happened to My Rock'n'roll? (Punk Song),Rock,2001,,,,
1539,DJ Shadow,Six Days,Hip Hop,2002,F♯/G♭,major,5:02,167BPM
1540,Wu-Tang Clan,Gravel Pit,Hip Hop,2000,G,major,4:17,121BPM
1541,Kylie Minogue,Slow,Pop,2003,F♯/G♭,major,3:14,115BPM
1542,Linkin Park,In the End,Rock,2000,D♯/E♭,minor,3:37,105BPM
1543,Radiohead,You and Whose Army?,Rock,2001,C♯/D♭,minor,3:11,137BPM
1544,The Chemical Brothers,Star Guitar,Dance,2002,F,major,6:27,127BPM
1545,Broken Social Scene,Almost Crimes,Rock,2002,,,,
1546,Broken Bells,The High Road,Pop,2009,C,major,3:52,80BPM
1547,!!!,Heart of Hearts,Rock,2007,,,,
1548,Nick Cave & The Bad Seeds,"Dig!!! Lazarus, Dig!!!",Rock,2007,,,,
1549,Hot Chip,One Life Stand,Pop,2009,A♯/B♭,minor,5:21,120BPM
1550,The Postal Service,The District Sleeps Alone Tonight,Pop,2003,C,major,4:44,154BPM
1551,Jeans Team,Das Zelt,Pop,2006,,,,
1552,Four Tet,Love Cry,Dance,2009,A♯/B♭,minor,9:14,116BPM
1553,Stars,Your Ex-Lover Is Dead,Pop,2004,C,major,4:16,153BPM
1554,Burial + Four Tet,Moth,Dance,2009,,,,
1555,Patrick Wolf,The Magic Position,Pop,2007,G♯/A♭,minor,3:54,134BPM
1556,The Hives,Walk Idiot Walk,Rock,2004,A,major,3:31,146BPM
1557,Broadcast,Come On Let's Go,Rock,2000,,,,
1558,Ricardo Villalobos,Fizheuer Zieheuer,Dance,2006,,,,
1559,Wilco,Ashes of American Flags,Rock,2002,D,major,6:04,73BPM
1560,Major Lazer feat. Vybz Kartel,Pon de Floor,Dance,2009,,,,
1561,The White Stripes,The Hardest Button to Button,Rock,2003,E,minor,3:32,128BPM
1562,Evanescence,Bring Me to Life,Rock,2003,E,minor,3:56,95BPM
1563,Goldfrapp,A&E,Pop,2008,,,,
1564,Ricardo Villalobos,Dexter,Dance,2003,,,,
1565,Bloc Party,Helicopter,Rock,2004,B,minor,3:41,170BPM
1566,The Shins,Kissing the Lipless,Pop,2003,F♯/G♭,major,3:19,140BPM
1567,M83,Don't Save Us from the Flames,Rock,2005,,,,
1568,Wilco,Handshake Drugs,Rock,2004,D,major,6:03,114BPM
1569,The White Stripes,Blue Orchid,Rock,2005,A♯/B♭,minor,2:38,151BPM
1570,OutKast,"So Fresh, So Clean",Hip Hop,2000,F,minor,4:00,166BPM
1571,Muse,Time Is Running Out,Rock,2003,A,minor,3:57,118BPM
1572,Franz Ferdinand,Ulysses,Rock,2008,G,major,3:10,99BPM
1573,Rick Ross,Hustlin',Hip Hop,2006,A,major,4:14,136BPM
1574,Wolf Parade,I'll Believe in Anything,Rock,2005,,,,
1575,Eve feat. Gwen Stefani,Let Me Blow Ya Mind,Hip Hop,2001,,,,
1576,Broken Social Scene,Cause = Time,Rock,2002,,,,
1577,Liars,Plaster Casts of Everything,Rock,2007,D,major,3:58,166BPM
1578,Foo Fighters,Times Like These,Rock,2002,E,minor,4:28,145BPM
1579,*NSYNC,Bye Bye Bye,Pop,2000,,,,
1580,Ludacris,Rollout (My Business),Hip Hop,2001,G,major,4:58,131BPM
1581,Clipse feat. Slim Thug,Wamp Wamp (What It Do),Hip Hop,2006,,,,
1582,Antony and The Johnsons,Cripple And The Starfish,Pop,2000,A,minor,4:12,115BPM
1583,Röyksopp feat. Karin Dreijer,What Else Is There?,Pop,2005,,,,
1584,Regina Spektor,Fidelity,Pop,2006,F,major,3:47,93BPM
1585,Air France,Collapsing at Your Doorstep,Dance,2008,,,,
1586,Underworld,Two Months Off,Dance,2002,A♯/B♭,minor,9:09,135BPM
1587,Radiohead,Weird Fishes / Arpeggi,Rock,2007,,,,
1588,Nick Cave & The Bad Seeds,"There She Goes, My Beautiful World",Rock,2004,,,,
1589,Badly Drawn Boy,The Shining,Pop,2000,E,major,5:18,93BPM
1590,Skream,Midnight Request Line,Dance,2005,C♯/D♭,major,5:04,140BPM
1591,Jay-Z,Takeover,Hip Hop,2001,D,major,5:13,87BPM
1592,Kanye West feat. Lupe Fiasco,Touch the Sky,Hip Hop,2005,,,,
1593,Michael Andrews feat. Gary Jules,Mad World,Pop,2002,,,,
1594,Mystikal,Shake Ya Ass,Hip Hop,2000,G,major,4:18,98BPM
1595,Rachel Stevens,Some Girls,Pop,2004,D,major,3:34,130BPM
1596,Queens of the Stone Age,Little Sister,Rock,2005,C♯/D♭,major,2:54,162BPM
1597,Bright Eyes,Lua,Pop,2004,D,major,4:32,105BPM
1598,Belle and Sebastian,"Step into My Office, Baby",Pop,2003,,,,
1599,Death from Above 1979,Romantic Rights,Rock,2004,F,minor,3:15,150BPM
1600,Beastie Boys,Ch-Check It Out,Hip Hop,2004,C♯/D♭,major,3:12,115BPM
1601,Feist,My Moon My Man,Pop,2007,E,minor,3:48,124BPM
1602,Radiohead,A Wolf at the Door,Rock,2003,G,major,3:21,139BPM
1603,Red Hot Chili Peppers,Can't Stop,Rock,2002,,,,
1604,Natalia Lafourcade,Azul,Pop,2009,F,major,4:51,90BPM
1605,Jay Electronica,Exhibit C,Hip Hop,2009,F,minor,5:31,82BPM
1606,Sleigh Bells,Crown on the Ground,Rock,2009,B,major,3:49,85BPM
1607,Fabolous,Breathe,Hip Hop,2004,A♯/B♭,minor,4:29,83BPM
1608,Familjen,Det snurrar i min skalle,Pop,2007,G,major,4:14,130BPM
1609,Dirty Projectors and David Byrne,Knotty Pine,Pop,2009,,,,
1610,Lil Wayne feat. Static Major,Lollipop,Hip Hop,2008,,,,
1611,Eminem,Kim,Hip Hop,2000,E,minor,6:18,142BPM
1612,Lee Ann Womack with Sons of the Desert,I Hope You Dance,Pop,2000,,,,
1613,Kate Nash,Foundations,Pop,2007,C,major,4:06,77BPM
1614,Fever Ray,When I Grow Up,Pop,2009,C,major,4:31,123BPM
1615,Glasvegas,Geraldine,Rock,2008,C,major,3:45,120BPM
1616,Vitalic,Poney Part 1,Dance,2001,,,,
1617,Justice,Waters of Nazareth,Dance,2005,D,major,4:25,124BPM
1618,Air,Cherry Blossom Girl,Pop,2004,C♯/D♭,minor,3:40,75BPM
1619,Lambchop,Up with People,Pop,2000,A,major,6:03,136BPM
1620,Okkervil River,Our Life Is Not a Movie or Maybe,Rock,2007,G,major,4:25,151BPM
1621,Nirvana,You Know You're Right,Rock,2002,,,,
1622,Aeroplane feat. Kathy Diamond,Whispers,Dance,2008,,,,
1623,Cold War Kids,Hang Me Up to Dry,Rock,2006,A,minor,3:39,93BPM
1624,Kings of Convenience,I'd Rather Dance with You,Pop,2004,,,,
1625,Soap&Skin,Spiracle,Pop,2009,,,,
1626,Deftones,Change (In the House of Flies),Rock,2000,G,minor,5:00,142BPM
1627,Felix Da Housecat,"Silver Screen, Shower Scene",Dance,2001,A,major,4:41,121BPM
1628,Katerine,"Louxor, j'adore",Pop,2005,,,,
1629,Tocotronic,Hi Freaks,Rock,2002,D,minor,6:15,78BPM
1630,Radiohead,Life in a Glasshouse,Rock,2001,G,minor,4:37,84BPM
1631,Chamillionaire feat. Krayzie Bone,Ridin',Hip Hop,2005,,,,
1632,M.A.N.D.Y. vs. Booka Shade,Body Language,Dance,2005,,,,
1633,Modjo,Lady (Hear Me Tonight),Dance,2000,F♯/G♭,major,4:34,126BPM
1634,Max Tundra,Which Song,Pop,2008,,,,
1635,Elliott Smith,Pretty (Ugly Before),Pop,2003,G,major,4:46,76BPM
1636,The Knife,Pass This On,Pop,2003,G,minor,3:48,130BPM
1637,50 Cent,I Get Money,Hip Hop,2007,A,major,3:44,123BPM
1638,The Embassy,Some Indulgence,Pop,2005,B,minor,4:09,130BPM
1639,El Guincho,Palmitos Park,Rock,2007,A♯/B♭,minor,2:34,90BPM
1640,Broken Social Scene,7/4 (Shoreline),Rock,2005,,,,
1641,Lil Mama,Lip Gloss,Hip Hop,2007,D,major,3:40,189BPM
1642,Björk & Thom Yorke,I've Seen It All,Pop,2000,,,,
1643,The National,Slow Show,Rock,2007,E,major,4:08,150BPM
1644,Basement Jaxx,Raindrops,Dance,2009,G♯/A♭,major,4:08,126BPM
1645,Black Eyed Peas,Where Is the Love?,Hip Hop,2003,F,major,4:33,94BPM
1646,Aesop Rock,Daylight,Hip Hop,2001,B,major,4:26,93BPM
1647,Blonde Redhead,23,Rock,2007,G♯/A♭,major,5:19,120BPM
1648,Green Velvet,La La Land,Dance,2001,,,,
1649,Franz Ferdinand,The Dark of the Matinée / Matinée,Rock,2004,,,,
1650,Nick Cave & The Bad Seeds,"Babe, I'm On Fire",Rock,2003,,,,
1651,Molotov,Frijolero,Rock,2003,D,major,3:30,95BPM
1652,Late of the Pier,Space and the Woods,Rock,2007,D,major,3:46,157BPM
1653,Benga and Coki,Night,Dance,2008,,,,
1654,Queens of the Stone Age,Go with the Flow,Rock,2002,E,minor,3:07,159BPM
1655,The Vines,Highly Evolved,Rock,2002,E,minor,1:34,131BPM
1656,Porter,Espiral,Rock,2004,F♯/G♭,major,5:22,135BPM
1657,Tegan and Sara,Walking with a Ghost,Pop,2005,F♯/G♭,minor,2:30,118BPM
1658,Arctic Monkeys,Crying Lightning,Rock,2009,E,minor,3:45,107BPM
1659,Badly Drawn Boy,Silent Sigh,Pop,2002,C,major,4:45,104BPM
1660,Beirut,Elephant Gun,Pop,2007,G♯/A♭,major,5:49,180BPM
1661,Kings of Leon,On Call,Rock,2007,G,major,3:22,193BPM
1662,Wilco,Poor Places,Rock,2002,A♯/B♭,major,5:15,181BPM
1663,Kaiser Chiefs,Oh My God,Rock,2004,G,major,3:35,178BPM
1664,Javiera Mena,Al siguiente nivel,Pop,2006,C♯/D♭,major,4:04,168BPM
1665,Mirwais,Naïve Song,Pop,2000,A,major,4:28,120BPM
1666,The Strokes,You Only Live Once,Rock,2006,B,major,3:09,121BPM
1667,Richard Hawley,The Ocean,Pop,2005,A,major,5:37,142BPM
1668,The Big Pink,Velvet,Rock,2009,G♯/A♭,major,4:12,176BPM
1669,Sonic Youth,Incinerate,Rock,2006,G♯/A♭,major,4:56,152BPM
1670,Alan Braxe and Fred Falke,Intro,Dance,2000,,,,
1671,Audioslave,Cochise,Rock,2002,A,major,3:42,80BPM
1672,Blur,Music Is My Radar,Rock,2000,A,major,5:29,122BPM
1673,Metric,Help I'm Alive,Rock,2008,,,,
1674,Cam'ron feat. Juelz Santana,Oh Boy,Hip Hop,2002,,,,
1675,The Strokes,Is This It,Rock,2001,F,major,2:31,96BPM
1676,Mastodon,Blood & Thunder,Rock,2004,,,,
1677,Ghostface Killah,Nutmeg,Hip Hop,2000,,,,
1678,Primal Scream,Accelerator,Rock,2000,B,minor,3:30,91BPM
1679,Snoop Dogg feat. Pharrell Williams,Beautiful,Hip Hop,2002,,,,
1680,M. Ward,Chinese Translation,Rock,2006,D,major,3:59,108BPM
1681,Empire of the Sun,We Are the People,Pop,2008,E,minor,4:32,123BPM
1682,PJ Harvey,Good Fortune,Rock,2000,G,major,3:20,126BPM
1683,Death Cab for Cutie,Transatlanticism,Rock,2003,A,major,7:55,127BPM
1684,Radio 4,Dance to the Underground,Rock,2001,G,major,4:03,130BPM
1685,Antony and The Johnsons,Fistful of Love,Pop,2004,D♯/E♭,major,5:52,87BPM
1686,Okkervil River,For Real (There's Nothing Quite Like the Blinding Light),Rock,2005,,,,
1687,TV on the Radio,Dancing Choose,Rock,2008,G,major,2:56,103BPM
1688,The White Stripes,You Don't Know What Love Is (You Just Do As You're Told),Rock,2007,,,,
1689,Lambchop,Is a Woman,Pop,2002,G,major,4:39,75BPM
1690,Wilco,Spiders (Kidsmoke),Rock,2004,C♯/D♭,minor,10:42,133BPM
1691,Young Jeezy feat. Kanye West,Put On,Hip Hop,2008,,,,
1692,Bob Dylan,Thunder on the Mountain,Rock,2006,A♯/B♭,major,5:54,154BPM
1693,Broken Social Scene,Stars and Sons,Rock,2002,G,major,5:09,126BPM
1694,k-os,Crabbuckit,Hip Hop,2004,G♯/A♭,major,4:07,95BPM
1695,Soulwax,NY Excuse,Dance,2004,C♯/D♭,major,4:50,133BPM
1696,Belle and Sebastian,Wrapped Up in Books,Pop,2003,,,,
1697,Editors,Papillon,Rock,2009,G,major,5:24,126BPM
1698,Beck,E-Pro,Rock,2005,B,minor,3:22,96BPM
1699,Band of Horses,Is There a Ghost,Rock,2007,C♯/D♭,major,3:00,136BPM
1700,Nine Inch Nails,Survivalism,Rock,2007,A,major,4:22,130BPM
1701,Beatsteaks,I Don't Care as Long as You Sing,Rock,2004,,,,
1702,The Hold Steady,Chill Out Tent,Rock,2006,,,,
1703,Sufjan Stevens,Come on Feel the Illinoise,Pop,2005,,,,
1704,Adam Green,Jessica,Pop,2003,B,major,2:37,92BPM
1705,Lil Wayne,Georgia...Bush,Hip Hop,2006,,,,
1706,Jay-Z,I Just Wanna Love U (Give It 2 Me),Hip Hop,2000,B,minor,3:50,98BPM
1707,Radiohead,Optimistic,Rock,2000,G,minor,5:16,158BPM
1708,Jane's Addiction,Just Because,Rock,2003,,,,
1709,Andrew Bird,Fake Palindromes,Pop,2005,D,major,2:53,144BPM
1710,Rilo Kiley,Silver Lining,Pop,2007,G,major,3:37,117BPM
1711,Phoenix,Consolation Prizes,Pop,2006,B,major,3:16,102BPM
1712,Yeah Yeah Yeahs,Y Control,Rock,2003,C,major,4:01,132BPM
1713,The Wombats,Let's Dance to Joy Division,Rock,2007,,,,
1714,Rachid Taha,Rock El Casbah,Pop,2004,F,major,4:34,135BPM
1715,Mylo,Drop the Pressure,Dance,2004,A,major,4:16,129BPM
1716,Maxïmo Park,Our Velocity,Rock,2007,G,minor,3:20,96BPM
1717,Yeah Yeah Yeahs,Cheated Hearts,Rock,2006,D,major,3:56,137BPM
1718,Papa Roach,Last Resort,Rock,2000,E,minor,3:20,91BPM
1719,The Rapture,Get Myself into It,Rock,2006,C♯/D♭,major,4:39,118BPM
1720,Element of Crime,Delmenhorst,Pop,2005,G,major,3:56,106BPM
1721,N*E*R*D,She Wants to Move,Rock,2004,,,,
1722,Hard-Fi,Hard to Beat,Rock,2005,A♯/B♭,major,4:13,125BPM
1723,The Roots,Don't Say Nuthin',Hip Hop,2004,,,,
1724,Kings of Tomorrow feat. Julie McKnight,Finally,Dance,2000,,,,
1725,Madvillain,America's Most Blunted,Hip Hop,2003,,,,
1726,The Moldy Peaches,Who's Got the Crack,Rock,2001,,,,
1727,Babyshambles,Delivery,Rock,2007,F,major,2:41,141BPM
1728,Clap Your Hands Say Yeah,Over & Over Again (Lost & Found),Rock,2005,,,,
1729,T.I. feat. Rihanna,Live Your Life,Hip Hop,2008,,,,
1730,Cut Copy,Lights & Music,Pop,2008,,,,
1731,The White Stripes,You're Pretty Good Lookin' (For a Girl),Rock,2000,,,,
1732,The Flaming Lips feat. Karen O,Watching the Planets,Rock,2009,,,,
1733,So Solid Crew,21 Seconds,Dance,2001,C♯/D♭,major,5:03,137BPM
1734,Richard Hawley,Tonight the Streets Are Ours,Pop,2007,F,major,3:43,132BPM
1735,Kante,Zombi,Rock,2004,F♯/G♭,minor,4:33,173BPM
1736,Kasabian,Fire,Rock,2009,A♯/B♭,major,4:12,117BPM
1737,Sigur Rós,(Untitled 1),Pop,2002,,,,
